Keyword,Clicks,Searches,CTR,Position,"Avg. CPC","Max. CPC",Competition
"cargador completo iphone",3,12,25.0,5.6,,,0
"cargador de carga rapida iphone",3,10,30.0,5.6,2.03,2.03,1.00
"cargador de iphone precio",3,10,30.0,4.8,,,0
"cargador del iphone 13",3,9,33.3,5.5,,,0
"cargador energizer para celular",3,4,75.0,2.8,,,0
"cargador iphone 13 pro original",3,8,37.5,6.1,,,0
"cargador iphone generico",3,8,37.5,4.5,,,0
"cargador lightning iphone original",3,8,37.5,4.6,3.19,3.19,1.00
"cargador original iphone xr",3,4,75.0,7.8,,,0
"cargador para celular motorola",3,6,50.0,5.8,1.51,1.51,1.00
"cargador para iphone 12 pro",3,6,50.0,5.7,3.69,3.69,1.00
"cargador para iphone inalambrico",3,6,50.0,7.3,,,0
"cargador tipo c iphone",3,961,0.3,9.5,,,0
"cargadores iphone original precio",3,10,30.0,4.6,,,0
"cargadores portatiles de celulares",3,7,42.9,4.4,,,0
"cartera con porta celular",3,7,42.9,10.0,,,0
"cañon para celular",3,3,100.0,2.3,,,0
"celular a15 samsung precio",3,6,50.0,2.5,,,0
"celular a35 samsung precio",3,9,33.3,2.2,,,0
"celular adulto mayor samsung",3,5,60.0,2.0,,,0
"celular aifon 15",3,32,9.4,5.8,,,0
"celular anti agua y golpes",3,4,75.0,3.0,,,0
"celular axon 60",3,15,20.0,5.0,,,0
"celular barato samsung",3,8,37.5,2.4,,,0
"celular black friday",3,3,100.0,2.0,4.41,4.41,1.00
"celular blackview",3,429,0.7,5.4,,,0
"celular blu c5 2019",3,4,75.0,1.0,,,0
"celular blu studio x10",3,5,60.0,1.0,,,0
"celular básico bmobile c41",3,4,75.0,4.0,,,0
"celular camara frontal 32mp",3,4,75.0,2.0,,,0
"celular chino bueno y barato",3,3,100.0,2.0,,,0
"celular como parte de pago",3,3,100.0,3.0,,,0
"celular con bateria mas duradera",3,3,100.0,4.3,,,0
"celular con buena camara",3,21,14.3,9.2,,,0
"celular con camara frontal de 50 megapixeles",3,4,75.0,2.8,,,0
"celular con la mejor camara frontal",3,4,75.0,3.5,,,0
"celular con larga duracion de bateria",3,5,60.0,4.6,,,0
"celular con mas duracion de bateria",3,6,50.0,5.2,,,0
"celular con mayor capacidad de bateria",3,3,100.0,1.3,,,0
"celular con mejor bateria 2024",3,4,75.0,3.5,,,0
"celular con mejor bateria y camara",3,3,100.0,2.0,,,0
"celular con nfc barato",3,7,42.9,5.1,,,0
"celular cubot king kong es",3,7,42.9,8.1,,,0
"celular dobla",3,6,50.0,6.5,,,0
"celular doppio f1811",3,5,60.0,5.8,1.79,1.79,0.99
"celular e14",3,4,75.0,2.8,,,0
"celular en mexico",3,5,60.0,2.6,,,0
"celular en venta barato",3,4,75.0,6.3,,,0
"celular google precio",3,8,37.5,7.3,,,0
"celular hawei",3,14,21.4,4.7,2.94,2.94,1.00
"celular hisense e60 4 gb ram 64 gb azul",3,9,33.3,3.1,,,0
"celular hisense h40 lite",3,5,60.0,1.4,3.31,3.31,1.00
"celular hisense u50",3,11,27.3,4.9,,,0
"celular honor magic 5 lite",3,476,0.6,11.7,,,0
"celular honor magic 5 lite precio",3,11,27.3,5.5,,,0
"celular honor magic 7",3,268,1.1,6.1,,,0
"celular honor x5 plus 64gb",3,259,1.2,10.6,,,0
"celular honor x5b precio",3,4,75.0,4.0,,,0
"celular honor x7a precio",3,8,37.5,5.5,,,0
"celular honor x8",3,2674,0.1,8.6,,,0
"celular honor x8 precio",3,9,33.3,1.9,,,0
"celular honor x8b precio",3,11,27.3,5.9,,,0
"celular huawei barato",3,3,100.0,3.3,,,0
"celular huawei precio",3,8,37.5,2.3,,,0
"celular huawei precios",3,4,75.0,3.0,,,0
"celular huawei y7p",3,4,75.0,7.0,,,0
"celular infinix note 30 pro",3,29,10.3,8.0,,,0
"celular iphone 12 128gb",3,3,100.0,4.7,,,0
"celular iphone 13 128gb",3,4,75.0,4.3,,,0
"celular iphone oferta",3,3,100.0,2.0,,,0
"celular iphone precio",3,4,75.0,1.3,,,0
"celular k50 gaming",3,5,60.0,4.8,,,0
"celular king kong 8",3,26,11.5,8.2,,,0
"celular king kong es",3,14,21.4,7.3,,,0
"celular magic 7 lite",3,164,1.8,6.8,,,0
"celular marca sky",3,9,33.3,3.0,,,0
"celular marca zoom",3,6,50.0,1.0,,,0
"celular moto e 14 precio",3,4,75.0,4.3,,,0
"celular moto g100",3,4,75.0,3.0,,,0
"celular moto g24 precio",3,17,17.6,5.8,,,0
"celular moto g41",3,4,75.0,6.3,,,0
"celular moto g85 5g",3,6,50.0,10.2,,,0
"celular moto one",3,15,20.0,5.4,1.61,1.61,1.00
"celular motorola 50 fusion",3,3,100.0,9.7,,,0
"celular motorola g04 128gb",3,6,50.0,4.7,,,0
"celular motorola g04s",3,4,75.0,8.0,,,0
"celular motorola g04s 128gb",3,6,50.0,8.5,,,0
"celular motorola g13 precio",3,10,30.0,1.4,,,0
"celular motorola g22 precio",3,9,33.3,2.9,,,0
"celular motorola g23 precio",3,6,50.0,1.7,,,0
"celular motorola g24 256gb precio",3,5,60.0,3.6,,,0
"celular motorola g30 precio",3,5,60.0,2.8,1.53,1.53,1.00
"celular motorola g35",3,5,60.0,3.2,,,0
"celular motorola g41 128gb precio",3,8,37.5,1.0,,,0
"celular motorola g71 5g precio",3,3,100.0,4.3,,,0
"celular motorola g8 power",3,6,50.0,5.2,,,0
"celular motorola g9 plus",3,10,30.0,8.4,,,0
"celular motorola moto g60",3,5,60.0,3.4,,,0
"celular motorola precio",3,5,60.0,1.4,,,0
"celular motorola precios",3,4,75.0,1.0,,,0
"celular motorola precios y modelos",3,6,50.0,1.0,,,0
"celular motorola que se dobla precio",3,17,17.6,2.8,,,0
"celular motorola razr 40",3,4,75.0,2.0,,,0
"celular neffos",3,4,75.0,1.0,,,0
"celular nokia g50",3,7,42.9,7.7,,,0
"celular note 60",3,9,33.3,5.4,,,0
"celular nova 11i",3,3,100.0,6.7,,,0
"celular nuvia",3,24,12.5,3.3,,,0
"celular oneplus nord n100 precio",3,4,75.0,6.8,,,0
"celular opoo",3,22,13.6,4.8,,,0
"celular oppo a",3,3,100.0,3.0,,,0
"celular oppo a15",3,10,30.0,8.5,,,0
"celular oppo a16 precio",3,4,75.0,1.0,,,0
"celular oppo a38 precio",3,9,33.3,2.3,,,0
"celular oppo a40 precio mexico",3,3,100.0,4.3,,,0
"celular oppo a54 128gb precio",3,3,100.0,2.7,,,0
"celular oppo a58 256gb precio",3,6,50.0,7.0,,,0
"celular oppo a78 256gb precio",3,5,60.0,2.0,,,0
"celular oppo find x8 pro",3,22,13.6,7.1,,,0
"celular oppo gama alta",3,9,33.3,7.6,,,0
"celular oppo reno 10",3,7,42.9,6.7,,,0
"celular oppo reno 12 f 5g precio",3,5,60.0,7.2,,,0
"celular oppo reno 12f precio",3,9,33.3,1.2,,,0
"celular oppo reno 5 lite",3,11,27.3,10.5,,,0
"celular oppo reno 7 128gb",3,3,100.0,2.7,,,0
"celular oppo reno 7 256gb",3,4,75.0,7.5,,,0
"celular oppo telcel",3,3,100.0,4.3,,,0
"celular para adulto mayor con whatsapp",3,3,100.0,6.7,,,0
"celular para adultos mayores méxico",3,3,100.0,4.3,,,0
"celular phone",3,9,33.3,2.8,,,0
"celular pixel 6",3,12,25.0,5.1,,,0
"celular poco c75 precio",3,20,15.0,1.1,,,0
"celular poco f4",3,4,75.0,4.0,,,0
"celular poco iron man",3,15,20.0,8.1,,,0
"celular poco iron man precio",3,11,27.3,8.9,,,0
"celular poco m5s precio",3,14,21.4,5.3,,,0
"celular poco x3 pro 256gb",3,3,100.0,6.0,,,0
"celular poco x6",3,17,17.6,9.4,,,0
"celular poco x7 pro iron man",3,5,60.0,7.2,,,0
"celular promociones",3,3,100.0,2.3,,,0
"celular que le dure mucho la bateria",3,4,75.0,4.5,,,0
"celular que mas le dura la bateria",3,4,75.0,5.5,,,0
"celular que parece iphone",3,13,23.1,4.7,,,0
"celular reacondicionado iphone",3,4,75.0,7.3,,,0
"celular realme c53 256gb",3,3,100.0,3.3,,,0
"celular realme c63",3,14,21.4,10.4,,,0
"celular realme precio",3,9,33.3,2.6,2.74,2.74,1.00
"celular redmi 12",3,651,0.5,10.4,,,0
"celular redmi 12 256gb",3,7,42.9,7.9,,,0
"celular redmi 12 256gb precio",3,5,60.0,3.6,,,0
"celular redmi 9c",3,9,33.3,7.3,1.85,1.85,1.00
"celular redmi cuanto cuesta",3,4,75.0,2.5,,,0
"celular redmi note",3,5,60.0,10.6,,,0
"celular redmi note 13 256gb precio",3,5,60.0,5.8,,,0
"celular redmi note 13 pro",3,22,13.6,12.2,,,0
"celular remi",3,11,27.3,2.4,,,0
"celular renovado",3,4,75.0,1.8,14.04,14.04,1.00
"celular s25",3,10,30.0,5.7,,,0
"celular samsum",3,12,25.0,4.4,,,0
"celular samsung a 15 precio",3,3,100.0,2.7,,,0
"celular samsung a03s 64gb",3,5,60.0,6.2,,,0
"celular samsung a04",3,15,20.0,10.9,,,0
"celular samsung a04s precio",3,4,75.0,3.3,,,0
"celular samsung a05 64gb precio",3,4,75.0,6.3,,,0
"celular samsung a06 64gb",3,6,50.0,8.8,,,0
"celular samsung a14",3,19,15.8,11.8,,,0
"celular samsung a14 5g",3,4,75.0,3.5,,,0
"celular samsung a16 precio",3,30,10.0,3.4,,,0
"celular samsung a23 precio",3,11,27.3,3.5,,,0
"celular samsung a32 128gb precio",3,5,60.0,6.2,3.78,3.78,1.00
"celular samsung a55 256gb",3,11,27.3,10.2,,,0
"celular samsung a71 precio",3,4,75.0,4.3,,,0
"celular samsung barato y bueno",3,6,50.0,2.8,,,0
"celular samsung económico",3,8,37.5,1.7,,,0
"celular samsung económico y bueno",3,6,50.0,1.3,,,0
"celular samsung galaxy a05 64gb",3,4,75.0,8.8,,,0
"celular samsung galaxy a06 64gb",3,6,50.0,6.5,,,0
"celular samsung galaxy a15 precio",3,6,50.0,3.7,,,0
"celular samsung galaxy a55",3,33,9.1,11.6,,,0
"celular samsung galaxy z flip 4 256gb / 8gb ram negro",3,14,21.4,6.3,,,0
"celular samsung gama alta",3,19,15.8,8.3,,,0
"celular samsung liberado",3,6,50.0,3.3,,,0
"celular samsung note 10",3,10,30.0,4.7,,,0
"celular samsung nuevo",3,12,25.0,5.5,,,0
"celular samsung oferta",3,16,18.8,3.3,,,0
"celular samsung s21",3,11,27.3,8.3,,,0
"celular samsung s24 ultra precio",3,24,12.5,6.6,,,0
"celular san",3,6,50.0,2.0,,,0
"celular sencillo con whatsapp",3,4,75.0,10.0,,,0
"celular sony xperia precio",3,4,75.0,2.8,1.06,1.06,1.00
"celular sumergible 2024",3,4,75.0,8.0,,,0
"celular tablet",3,13,23.1,6.8,3.46,3.46,0.85
"celular tcl precio",3,7,42.9,1.1,2.22,2.22,1.00
"celular teclas",3,7,42.9,9.9,,,0
"celular vibo",3,4,75.0,3.0,,,0
"celular vivo 18 precio",3,4,75.0,2.0,,,0
"celular vivo 40 lite precio",3,6,50.0,2.5,,,0
"celular vivo v2027 precio",3,10,30.0,8.3,,,0
"celular vivo v2028",3,18,16.7,5.7,,,0
"celular vivo v2242",3,6,50.0,6.8,,,0
"celular vivo v28",3,4,75.0,3.5,,,0
"celular vivo v30 precio",3,6,50.0,4.3,,,0
"celular vivo v40 lite 256gb",3,6,50.0,5.5,,,0
"celular vivo y01",3,8,37.5,7.1,,,0
"celular vivo y11s precio",3,5,60.0,2.0,,,0
"celular vivo y17s",3,6,50.0,8.0,,,0
"celular vivo y18 128gb",3,6,50.0,5.0,,,0
"celular vivo y18 256gb",3,8,37.5,6.3,,,0
"celular vivo y22s",3,5,60.0,7.0,,,0
"celular vivo y22s 128gb",3,4,75.0,6.8,,,0
"celular vivo y22s precio",3,11,27.3,5.0,,,0
"celular vivo y33 precio",3,4,75.0,6.0,,,0
"celular vivo yo3 precio",3,13,23.1,1.6,,,0
"celular wiko",3,13,23.1,2.7,,,0
"celular x3 pro",3,3,100.0,4.0,,,0
"celular xiaomi 14c",3,11,27.3,8.0,,,0
"celular xiaomi poco c75 256gb rom 8gb ram black",3,8,37.5,6.7,,,0
"celular xiaomi redmi 13c 128gb",3,3,100.0,6.7,,,0
"celular xiomi",3,10,30.0,5.3,,,0
"celular zte blade a51",3,24,12.5,8.4,,,0
"celular zte blade v50",3,3,100.0,6.3,,,0
"celular zte blade v60",3,8,37.5,8.8,,,0
"celular zte telcel",3,8,37.5,7.5,,,0
"celular zuum basico",3,4,75.0,1.8,,,0
"celular zuum desbloqueado covet x 32 gb morado",3,10,30.0,3.0,,,0
"celular zuum rojo",3,4,75.0,1.0,0.40,0.40,1.00
"celular zuum soul 128",3,5,60.0,1.0,,,0
celulared,3,25,12.0,4.5,,,0
"celulares 2 x 1",3,11,27.3,6.6,,,0
"celulares 2500",3,9,33.3,6.1,,,0
"celulares a",3,6,50.0,2.8,,,0
"celulares a 2000 pesos",3,8,37.5,3.0,,,0
"celulares a bajo precio",3,4,75.0,1.8,,,0
"celulares a credito puebla",3,8,37.5,8.1,,,0
"celulares a credito saltillo",3,11,27.3,4.1,,,0
"celulares a creditos",3,3,100.0,8.3,,,0
"celulares a crédito cerca",3,6,50.0,4.8,,,0
"celulares a crédito sin enganche",3,8,37.5,16.9,,,0
"celulares acuaticos",3,4,75.0,1.5,,,0
"celulares alcatel recientes",3,4,75.0,2.3,,,0
"celulares baratos abierto ahora",3,3,100.0,3.3,,,0
"celulares baratos de 2000 pesos",3,14,21.4,7.2,,,0
"celulares baratos para jugar free fire",3,7,42.9,1.4,,,0
"celulares baratos zte",3,8,37.5,2.9,,,0
"celulares bienestar",3,13,23.1,7.5,,,0
"celulares buenos bonitos y baratos",3,37,8.1,8.9,,,0
"celulares caida de precio",3,7,42.9,6.6,,,0
"celulares calidad-precio gama alta",3,9,33.3,8.5,,,0
"celulares cerca de mi",3,9,33.3,5.2,,,0
"celulares chihuahua",3,6,50.0,6.2,,,0
"celulares chinos marcas nuevas",3,4,75.0,7.5,,,0
"celulares con batería de 10000mah",3,4,75.0,2.0,,,0
"celulares con cámara frontal de 32 megapíxeles",3,4,75.0,3.5,,,0
"celulares con ip68 2024",3,4,75.0,8.3,,,0
"celulares con mejor duracion de bateria",3,4,75.0,2.3,,,0
"celulares con whatsapp baratos",3,7,42.9,4.9,,,0
"celulares contra golpes y agua",3,4,75.0,8.3,,,0
"celulares de $2000",3,7,42.9,3.0,2.49,2.49,1.00
"celulares de 1300 pesos",3,11,27.3,8.2,,,0
"celulares de 2000 pesos huawei",3,7,42.9,3.7,,,0
"celulares de 2500",3,30,10.0,8.5,,,0
"celulares de 2500 pesos samsung",3,5,60.0,4.6,3.27,3.27,1.00
"celulares de 300 pesos con whatsapp",3,14,21.4,5.6,,,0
"celulares de 4000 pesos oppo",3,21,14.3,1.1,,,0
"celulares de 4000 pesos samsung",3,16,18.8,5.9,,,0
"celulares de 500 pesos con whatsapp",3,10,30.0,4.7,,,0
"celulares de 7000 pesos",3,8,37.5,9.0,,,0
"celulares de 8 de ram y 256 gb",3,15,20.0,9.5,,,0
"celulares de 8000 pesos",3,11,27.3,5.6,,,0
"celulares de apple",3,11,27.3,3.0,,,0
"celulares de bateria de larga duracion",3,4,75.0,3.0,,,0
"celulares de contado",3,8,37.5,2.8,,,0
"celulares de dos mil pesos",3,4,75.0,1.5,,,0
"celulares de gama alta baratos en bolivia",3,3,100.0,2.0,,,0
"celulares de gama media alta",3,21,14.3,9.2,,,0
"celulares de los que se dobla",3,7,42.9,4.6,,,0
"celulares de mil pesos",3,17,17.6,6.9,,,0
"celulares doogee",3,8,37.5,8.5,,,0
"celulares e",3,4,75.0,1.3,,,0
"celulares economicos telcel",3,6,50.0,2.5,2.08,2.08,1.00
"celulares económicos y buenos",3,9,33.3,7.8,,,0
"celulares en combo",3,4,75.0,9.5,4.87,4.87,1.00
"celulares en duo",3,9,33.3,6.9,,,0
"celulares en mexico precios",3,4,75.0,2.8,,,0
"celulares en mexico telcel",3,6,50.0,2.5,32.05,32.05,0.93
"celulares en oferta reacondicionados",3,4,75.0,1.5,,,0
"celulares en oferta xiaomi",3,6,50.0,4.8,,,0
"celulares en pagos mensuales",3,9,33.3,7.0,,,0
"celulares en pareja",3,7,42.9,2.7,,,0
"celulares exonomicos",3,5,60.0,4.4,,,0
"celulares galaxy",3,21,14.3,5.3,,,0
"celulares gama media 2025",3,76,3.9,7.9,,,0
"celulares hawey",3,3,100.0,3.7,2.27,2.27,1.00
"celulares hisense son buenos",3,4,75.0,3.0,,,0
"celulares honor 2024",3,6,50.0,5.5,,,0
"celulares honor precio",3,7,42.9,2.0,2.24,2.24,1.00
"celulares honor precios y modelos",3,4,75.0,1.0,,,0
"celulares huawei baratos y buenos",3,34,8.8,4.0,,,0
"celulares infinix precios",3,10,30.0,9.5,,,0
"celulares ip68",3,9,33.3,9.8,,,0
"celulares iphone 11",3,9,33.3,6.9,3.93,3.93,1.00
"celulares iphone 13",3,8,37.5,8.5,,,0
"celulares iphone nuevos en oferta",3,5,60.0,1.2,,,0
"celulares iphone ofertas",3,3,100.0,4.3,,,0
"celulares liquidación",3,5,60.0,4.2,,,0
"celulares marca huawei",3,10,30.0,3.6,,,0
"celulares marca samsung precios",3,5,60.0,1.4,,,0
"celulares mas comprados",3,3,100.0,2.7,,,0
"celulares merida",3,6,50.0,6.2,,,0
"celulares motorola edge 50 neo",3,6,50.0,6.3,,,0
"celulares motorola g41",3,4,75.0,4.0,,,0
"celulares motorola que se dobla",3,7,42.9,5.1,,,0
"celulares motorola telcel precios",3,9,33.3,9.5,,,0
"celulares más baratos",3,7,42.9,3.3,,,0
"celulares nuevos 2024",3,6,50.0,8.7,,,0
"celulares oneplus",3,7,42.9,7.3,,,0
"celulares oppo buenos y baratos",3,6,50.0,7.0,,,0
"celulares oppo economicos",3,6,50.0,2.0,2.96,2.96,1.00
"celulares oppo son buenos",3,4,75.0,2.5,,,0
"celulares para ancianos",3,3,100.0,7.3,,,0
"celulares para free fire 2024",3,4,75.0,1.0,,,0
"celulares para juegos baratos",3,5,60.0,4.4,,,0
"celulares para llamadas y mensajes",3,3,100.0,3.3,,,0
"celulares para personas de la tercera edad",3,7,42.9,5.6,,,0
"celulares poco baratos",3,133,2.3,4.5,,,0
"celulares que dura mas la bateria",3,10,30.0,1.6,,,0
"celulares que duren la bateria",3,3,100.0,4.0,,,0
"celulares que les dura mucho la bateria",3,6,50.0,3.0,,,0
"celulares que se abren y cierran",3,6,50.0,7.7,,,0
"celulares que se pueden sumergir en el agua",3,4,75.0,8.5,,,0
"celulares reconstruidos",3,6,50.0,2.2,,,0
"celulares remanufacturados",3,5,60.0,8.4,,,0
"celulares resistentes al agua samsung",3,12,25.0,8.5,,,0
"celulares restaurados",3,8,37.5,5.5,,,0
"celulares sam",3,6,50.0,3.0,,,0
"celulares samsum",3,10,30.0,3.3,,,0
"celulares samsung 2024",3,3,100.0,2.0,,,0
"celulares samsung at&t",3,4,75.0,4.0,,,0
"celulares samsung baratos ecuador",3,5,60.0,2.0,,,0
"celulares samsung galaxy s10",3,5,60.0,3.8,,,0
"celulares samsung oferta",3,7,42.9,2.4,,,0
"celulares samsung precios telcel",3,18,16.7,4.2,,,0
"celulares samsung promociones 2x1",3,22,13.6,5.5,,,0
"celulares samsung s21",3,4,75.0,8.0,3.12,3.12,1.00
"celulares sony recientes",3,7,42.9,9.4,,,0
"celulares sumergibles en agua",3,7,42.9,2.9,,,0
"celulares varatos",3,12,25.0,4.6,,,0
"celulares vivo 2024",3,8,37.5,3.8,,,0
"celulares xiaomi gama alta baratos",3,31,9.7,7.0,,,0
"celulares xiaomi precios",3,7,42.9,8.8,,,0
"celulares xiaomi redmi",3,15,20.0,4.5,,,0
"celulares xperia",3,6,50.0,5.8,,,0
"celulares zte economicos",3,3,100.0,1.3,,,0
celulars,3,8,37.5,3.8,,,0
celularvivo,3,7,42.9,2.7,,,0
"clases de iphone",3,3,100.0,2.3,,,0
"clonacion de celular",3,5,60.0,5.4,,,0
"combo celulares 2x1 telcel",3,12,25.0,9.3,,,0
"combos celulares",3,11,27.3,9.2,,,0
"como aclarar funda de celular transparente",3,5,60.0,4.2,,,0
"como aclarar la funda transparente del celular",3,7,42.9,2.7,,,0
"como blanquear la funda del celular transparente",3,5,60.0,3.2,,,0
"como clonan los celulares",3,4,75.0,5.0,,,0
"como compartir la pantalla de mi celular a mi tv",3,5,60.0,2.0,,,0
"como compartir pantalla de mi celular a mi smart tv",3,3,100.0,3.3,,,0
"como comprar un celular",3,5,60.0,3.2,,,0
"como comprar un celular a credito",3,4,75.0,2.3,,,0
"como conectar alexa a mi celular",3,385,0.8,8.8,,,0
"como conectar el celular a la tele",3,14,21.4,1.8,,,0
"como conectar un celular a la tv",3,191,1.6,7.9,,,0
"como cuidar la bateria de mi celular",3,9,33.3,6.2,,,0
"como cuidar la batería de mi celular",3,23,13.0,5.0,,,0
"como es sacar un celular a credito",3,4,75.0,2.5,,,0
"como limpiar el parlante del celular",3,27,11.1,6.9,,,0
"como limpiar la bocina de llamada de mi celular",3,3,100.0,1.0,,,0
"como limpiar la bocina del celular",3,4,75.0,1.3,,,0
"como limpiar la carcasa del celular transparente",3,3,100.0,1.3,,,0
"como limpiar los forros transparentes de celular",3,5,60.0,1.0,,,0
"como limpiar protector de celular",3,4,75.0,5.5,,,0
"como puedo conectar mi celular a la tv",3,1393,0.2,9.0,,,0
"como saber si mi celular está clonado",3,4,75.0,2.0,,,0
"como saber si mi número de celular esta duplicado",3,3,100.0,2.0,,,0
"como se llaman los celulares que se doblan",3,3,100.0,1.0,,,0
"como se mide la pantalla de un celular",3,3,100.0,1.3,,,0
"como transmitir de celular a tv",3,9,33.3,2.0,,,0
"como transmitir de mi celular a mi tv",3,8,37.5,2.0,,,0
"como ver mi celular en la tv",3,65,4.6,7.4,,,0
"comprar apple iphone 14 plus",3,3,100.0,4.7,,,0
"comprar celular a credito",3,6,50.0,4.5,,,0
"comprar celular motorola",3,6,50.0,10.8,,,0
"comprar iphone 12 mini",3,4,75.0,6.5,,,0
"comprar iphone 12 pro max",3,66,4.5,8.8,,,0
"comprar iphone barato",3,4,75.0,27.5,,,0
"comprar iphone en mexico",3,4,75.0,6.0,,,0
"comprar un iphone",3,5,60.0,8.6,,,0
"computadora iphone precio",3,8,37.5,3.8,,,0
"conectar celular a tv smart",3,3,100.0,1.7,,,0
"control celular juegos",3,5,60.0,5.0,,,0
"control de celular",3,17,17.6,3.2,1.29,1.29,1.00
"control gamepad para celular",3,3,100.0,2.0,1.22,1.22,1.00
"control para jugar en el celular",3,8,37.5,4.5,,,0
"control que se conecta al celular",3,11,27.3,5.2,,,0
"cooler para celular xiaomi",3,3,100.0,8.3,,,0
"correa para celular",3,397,0.8,10.1,,,0
"costo celular",3,4,75.0,1.5,,,0
"costo celular samsung",3,8,37.5,1.2,,,0
"costo de celular",3,9,33.3,1.9,,,0
"costo de celular motorola",3,3,100.0,1.0,,,0
"costo de celulares en mexico",3,5,60.0,1.4,,,0
"costo de iphone 11",3,82,3.7,7.1,3.03,3.03,1.00
"costo de iphone 13 pro max",3,14,21.4,5.7,,,0
"costo de iphone 15",3,95,3.2,6.8,,,0
"costo del celular oppo",3,5,60.0,1.4,,,0
"costo del iphone",3,7,42.9,2.6,,,0
"costo del iphone 15 pro max",3,12,25.0,6.9,,,0
"costo iphone 8 plus",3,5,60.0,1.6,,,0
"credito celulares",3,9,33.3,10.2,,,0
"cuadro cargador iphone original",3,7,42.9,8.4,,,0
"cuadro de carga iphone",3,34,8.8,7.4,,,0
"cuadro iphone",3,6,50.0,7.5,,,0
"cual es el celular con mas bateria",3,4,75.0,3.3,,,0
"cual es el celular mas parecido al iphone",3,4,75.0,4.8,,,0
"cual es el celular samsung mas barato y bueno",3,7,42.9,5.6,,,0
"cual es el iphone mas barato en guatemala",3,5,60.0,2.0,,,0
"cual es el iphone mas reciente",3,18,16.7,5.7,,,0
"cual es el iphone más barato en perú",3,4,75.0,2.0,,,0
"cual es el mejor celular",3,31,9.7,9.4,5.39,5.39,0.94
"cual es el mejor celular del momento",3,5,60.0,4.2,3.04,3.04,0.40
"cual es el mejor celular para adultos mayores",3,5,60.0,6.2,,,0
"cual es el mejor celular samsung",3,3,100.0,2.0,,,0
"cual es el mejor procesador para celular para juegos",3,3,100.0,1.3,,,0
"cual es el precio del iphone 14 pro max",3,6,50.0,2.2,,,0
"cual es la marca de celular mas vendida en el mundo",3,3,100.0,1.3,,,0
"cual es la marca de celulares mas vendida en el mundo",3,5,60.0,2.2,,,0
"cuales son los celulares reacondicionados",3,4,75.0,3.0,,,0
"cuanto cuesta celular samsung",3,8,37.5,1.0,,,0
"cuanto cuesta el cargador de iphone 13",3,7,42.9,5.4,,,0
"cuanto cuesta el celular",3,14,21.4,3.8,,,0
"cuanto cuesta el celular oppo a17",3,9,33.3,1.2,,,0
"cuanto cuesta el celular redmi 14c",3,10,30.0,3.1,,,0
"cuanto cuesta el iphone 13 en 2024",3,4,75.0,1.0,,,0
"cuanto cuesta el iphone 13 pro",3,366,0.8,9.0,,,0
"cuanto cuesta el iphone 15 pro",3,38,7.9,1.2,,,0
"cuanto cuesta el iphone 16 plus",3,18,16.7,1.0,,,0
"cuanto cuesta el iphone 6",3,21,14.3,4.3,1.52,1.52,1.00
"cuanto cuesta el iphone 8 plus en mexico",3,6,50.0,3.5,,,0
"cuanto cuesta iphone",3,5,60.0,4.0,,,0
"cuanto cuesta iphone 10",3,3,100.0,2.0,,,0
"cuanto cuesta iphone 13",3,79,3.8,6.0,,,0
"cuanto cuesta iphone 14",3,13,23.1,3.8,,,0
"cuanto cuesta iphone 14 pro max",3,7,42.9,2.0,,,0
"cuanto cuesta iphone 8 plus",3,4,75.0,2.3,,,0
"cuanto cuesta un celular apple",3,4,75.0,2.5,,,0
"cuanto cuesta un celular marca vivo",3,5,60.0,1.0,,,0
"cuanto cuesta un iphone 10",3,29,10.3,1.3,,,0
"cuanto cuestan los iphone en mexico",3,4,75.0,2.8,,,0
"cuanto cuestan los iphones",3,5,60.0,2.0,,,0
"cuanto esta el iphone 11",3,20,15.0,4.0,,,0
"cuanto esta el iphone 13",3,165,1.8,6.5,,,0
"cuanto sale el iphone 13",3,46,6.5,6.2,,,0
"cuanto sale un iphone en mexico",3,8,37.5,5.8,,,0
"cuanto vale celular oppo",3,3,100.0,1.7,,,0
"cuanto vale el celular samsung s23 ultra",3,7,42.9,1.0,,,0
"cuanto vale el iphone 15",3,652,0.5,6.7,,,0
"cuanto vale el iphone xs max",3,9,33.3,3.3,,,0
"cuanto vale un celular oppo",3,9,33.3,2.2,,,0
"cuanto vale un celular zte",3,3,100.0,1.0,0.67,0.67,1.00
"cuanto vale un iphone 14",3,9,33.3,2.6,,,0
"cuanto vale un iphone en mexico",3,6,50.0,4.5,,,0
"cuantos modelos de iphone hay",3,3,100.0,2.0,,,0
"cubo de cargador iphone",3,19,15.8,6.3,,,0
"cubo de iphone original precio",3,3,100.0,6.0,,,0
"cubo iphone 13 original",3,6,50.0,5.3,,,0
"cubo para cargador iphone 13",3,4,75.0,5.3,,,0
"cubot celular kingkong 8 robusto dual sim 256 gb 6 gb ram 10600mah android 13 (negro)",3,7,42.9,6.1,,,0
"cuál es el iphone más económico",3,6,50.0,4.2,,,0
"cuál es el iphone más nuevo",3,495,0.6,7.8,,,0
"cuál es el iphone más reciente",3,1862,0.2,6.6,,,0
"cuál es el mejor procesador para celular",3,10,30.0,2.1,,,0
"cuánto cuesta el celular motorola",3,5,60.0,1.4,,,0
"cuánto cuesta el celular oppo a40",3,9,33.3,2.0,,,0
"cuánto cuesta el celular samsung a55",3,6,50.0,2.7,,,0
