Keyword,Clicks,Searches,CTR,Position,"Avg. CPC","Max. CPC",Competition
"iphone 13 pro max nuevo",121,6662,1.8,10.2,,,0
"iphone a credito",121,2518,4.8,6.0,,,0
"celulares baratos y buenos",120,7225,1.7,5.3,0,0,0
"ofertas celulares",119,4559,2.6,3.1,,,0
"cargador de iphone original",116,6766,1.7,5.3,,,0
"cuanto cuesta el iphone 13",115,26937,0.4,6.5,16.57,65.06,0.91
"iphone precio",115,6311,1.8,4.4,7.25,7.25,0
"iphone 16 pro max",113,4667,2.4,6.9,,,0
"oferta de celulares",113,4188,2.7,2.9,,,0
"apple iphone 14 pro max",112,8146,1.4,5.8,,,0
"celular nokia",112,6817,1.6,2.1,2.10,2.10,1.00
"precio de iphone",112,4571,2.5,4.0,2.65,4.32,0
"celulares sony",111,2285,4.9,4.9,2.86,2.86,1.00
"precio del iphone 14 pro max",110,5630,2.0,2.6,,,0
"celular sony",109,3532,3.1,5.2,,,0
"celular xiaomi",108,18688,0.6,6.2,8.23,8.23,0
"iphone precios",108,3720,2.9,4.3,2.01,2.40,0.98
"celular zuum sens g",107,285,37.5,1.1,,,0
"celular para adultos mayores",106,4043,2.6,5.6,0.72,0.84,0
"iphone 12 pro max precio",106,14039,0.8,6.6,,,0
"celular economico",105,3251,3.2,2.7,,,0
"celulares telcel",105,8255,1.3,3.2,2.97,2.97,1.00
"marcas de celulares",105,12977,0.8,7.7,,,0
"celulares redmi",104,7898,1.3,4.1,,,0
"iphone 13 nuevo",104,9172,1.1,8.7,,,0
"celulares de 2000 pesos",103,2586,4.0,2.7,1.40,1.40,1.00
"iphone 6 precio",102,6203,1.6,5.1,1.05,1.05,0.99
"precio de celular vivo",102,591,17.3,1.1,,,0
"celular vivo precio",101,921,11.0,1.2,,,0
"precios de iphone",101,3832,2.6,3.7,2.70,3.49,0.99
"zuum celular",101,2397,4.2,3.1,1.02,1.02,0
"celulares telcel baratos",100,2842,3.5,2.9,,,0
"iphone 14 pro reacondicionado",99,10066,1.0,6.2,,,0
"iphone 11 nuevo",93,4470,2.1,6.1,,,0
"iphone 14 pro max 128gb",93,9760,1.0,8.6,,,0
"celulares nokia",92,3300,2.8,4.2,,,0
"celular que se dobla",91,12412,0.7,6.3,,,0
"celulares xiaomi",91,11326,0.8,6.6,3.04,3.04,1.00
"iphone 13 mini precio",91,8490,1.1,6.1,2.62,2.62,1.00
"precio de celular oppo",90,2490,3.6,2.2,2.36,2.36,1.00
"cuanto cuesta el iphone 12",89,13292,0.7,4.7,,,0
"tripie para celular",89,19794,0.4,8.5,2.18,2.18,1.00
"celulares mas vendidos en mexico",88,301,29.2,1.6,,,0
"precio de celulares",88,1219,7.2,2.9,,,0
"celulares gamer",87,10126,0.9,7.0,2.11,3.31,1.00
"huawei celulares",87,6960,1.3,5.2,,,0
"celulares de gama alta",86,6951,1.2,7.8,,,0
"iphone rosa 13",86,2038,4.2,2.4,2.40,2.40,0.80
"colaborapp para iphone",85,114,74.6,1.0,,,0
"iphone x precio",85,10069,0.8,4.3,,,0
"cargador para iphone",84,9112,0.9,6.5,,,0
"celular lg",84,4674,1.8,2.3,2.69,2.69,1.00
"iphone 7 plus precio",84,6857,1.2,2.4,1.26,1.26,1.00
"porta celular para moto",84,8119,1.0,4.6,,,0
"telcel celulares",84,18389,0.5,6.4,,,0
"celular blu",83,1741,4.8,1.8,,,0
"celulares nuevos",83,2037,4.1,3.0,3.58,3.58,1.00
"celulares para adultos mayores",82,1089,7.5,4.4,1.87,1.87,0
"comprar apple iphone 14 pro max",81,1601,5.1,1.4,,,0
"iphone 12 128gb",81,20197,0.4,10.7,7.75,7.75,1.00
"iphone 16 e precio",81,6480,1.3,6.8,,,0
"precio del iphone 12",80,10564,0.8,7.3,4.31,4.31,0
